url,prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero,cantidad_comentarios,polaridad_media,subjetividad_media,palabras_mas_usadas,sentimiento
https://www.airbnb.es/rooms/31977858?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019327_P3leurI4ByPm8VBT&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,18.0,4.34,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,5.6937321388027,1.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,296.0,0.3101209812694188,0.4173556839806837,"[('buen', 82), ('ubicacin', 82), ('lugar', 79), ('excelente', 64), ('bien', 56), ('limpio', 56), ('hostal', 55), ('personal', 44), ('est', 38), ('agradable', 32)]",Positivo
https://www.airbnb.es/rooms/1147692746401940575?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1897406461&search_mode=regular_search&check_in=2024-11-12&check_out=2024-11-17&source_impression_id=p3_1731019327_P3YA63GOcRS7aqXz&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,46.0,0.0,35.0,1.0,1.0,0.5,1.0,900.0,540.0,9.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
https://www.airbnb.es/rooms/1268163818980729724?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1731019327_P3wJP1AaWzQqst4_&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,147.0,0.0,0.0,2.0,2.0,1.0,4.0,900.0,720.0,9.0,0.0,0.0,5.0,2.0,0.0,13.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
https://www.airbnb.es/rooms/1270266469340006214?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2015148890&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1731019327_P3Dde3CXqt7R969e&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,46.0,0.0,10.0,1.0,1.0,0.5,2.0,600.0,720.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
https://www.airbnb.es/rooms/1250842195271697900?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1998026509&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1731019327_P3evNuScE0XheH5U&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,42.0,4.13,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,2.19722457733622,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,0.2725868055555555,0.4890104166666666,"[('buen', 3), ('habitacin', 3), ('perfecto', 2), ('anfitrin', 2), ('15', 2), ('minuto', 2), ('gracias', 2), ('inodoro', 2), ('funcionar', 2), ('fro', 2)]",Positivo
https://www.airbnb.es/rooms/1250076660022718536?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1997500786&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1731019327_P3w_tRR8bumi8qMM&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,47.0,3.17,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,1.9459101490553128,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.1804484126984127,0.5417619047619048,"[('bao', 4), ('habitacin', 3), ('absoluto', 3), ('poder', 3), ('habitación', 3), ('est', 3), ('estn', 2), ('lleno', 2), ('limpio', 2), ('escuchar', 2)]",Positivo
https://www.airbnb.es/rooms/1126661637688071846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019327_P3zMnqiLfv_F4xS0&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,16.0,3.79,0.0,1.0,4.0,0.5,1.0,900.0,600.0,9.0,3.367295829986474,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,30.0,0.0589722222222222,0.0920833333333333,"[('bien', 7), ('hostal', 6), ('pagar', 6), ('precio', 5), ('si', 5), ('est', 5), ('estancia', 5), ('buen', 5), ('ubicacin', 4), ('solo', 4)]",Neutral
https://www.airbnb.es/rooms/1239353939252642805?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1988427769&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019327_P3q4510VkD5w3Wbb&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,23.0,4.33,5.0,3.0,2.0,0.5,2.0,720.0,600.0,12.0,2.302585092994046,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,0.1074305555555555,0.4175462962962963,"[('bien', 7), ('buen', 7), ('mate', 4), ('solo', 4), ('habitacin', 4), ('tranquilo', 3), ('persona', 3), ('limpio', 3), ('casa', 2), ('all', 2)]",Positivo
https://www.airbnb.es/rooms/40723364?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1731019327_P3tbHSJIwYbWeKx3&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,22.0,4.1,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,5.3706380281276624,1.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,214.0,0.358798799432694,0.5290997204369389,"[('buen', 59), ('lugar', 51), ('ubicacin', 47), ('bien', 40), ('amable', 34), ('habitacin', 34), ('excelente', 31), ('noche', 24), ('personal', 24), ('hostal', 24)]",Positivo
https://www.airbnb.es/rooms/1086018140861723540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-08&check_out=2024-11-13&source_impression_id=p3_1731019327_P3reZGOjFc1REY3e&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,122.0,5.0,40.0,1.0,2.0,1.0,3.0,960.0,720.0,8.0,1.3862943611198906,0.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.1333333333333333,0.1666666666666666,"[('ms', 4), ('estancia', 3), ('si', 3), ('solo', 3), ('lugar', 3), ('as', 3), ('encontrar', 2), ('ramblar', 2), ('tranquilo', 2), ('mismo', 2)]",Positivo
