prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
84.0,4.62,50.0,2.0,4.0,1.0,4.0,840.0,600.0,10.0,6.272877006546167,1.0,3.0,4.0,1.0,12.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
36.0,0.0,25.0,1.0,1.0,0.5,2.0,840.0,660.0,10.0,1.0986122886681098,1.0,5.0,2.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0
90.0,4.83,38.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,6.376726947898627,2.0,5.0,2.0,1.0,12.0,9.0,2.0,1.0,2.0,6.0,0.0,4.0,4.0,0.0,0.0
55.0,4.92,10.0,1.0,1.0,0.0,2.0,780.0,660.0,11.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0
66.0,4.67,50.0,1.0,2.0,1.0,2.0,840.0,600.0,10.0,6.113682179832232,2.0,3.0,4.0,0.0,9.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,4.75,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,1.6094379124341003,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
26.0,4.6,0.0,1.0,10.0,0.5,1.0,900.0,660.0,9.0,6.054439346269371,2.0,1.0,2.0,0.0,8.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0
78.0,0.0,20.0,1.0,1.0,0.0,2.0,900.0,660.0,9.0,0.0,3.0,4.0,3.0,1.0,9.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
45.0,4.81,20.0,2.0,1.0,0.5,1.0,900.0,680.0,9.0,3.8918202981106265,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
113.0,4.71,30.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,3.5553480614894135,0.0,4.0,2.0,1.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
